iter	Logloss
0	0.6621839715
1	0.6435962072
2	0.6314153491
3	0.6225691915
4	0.6154907213
5	0.6106781519
6	0.6078298907
7	0.6043410971
8	0.6019504018
9	0.5999228746
10	0.5983976158
11	0.5964438304
12	0.5952937613
13	0.5936115731
14	0.5929130868
15	0.5918321767
16	0.5913883215
17	0.5906696167
18	0.5900306513
19	0.5894624071
20	0.5890734768
21	0.5885357796
22	0.5878465961
23	0.5875679168
24	0.5869435929
25	0.5863466006
26	0.5857385215
27	0.5853597562
28	0.5849434327
29	0.5841648075
30	0.5838407049
31	0.5832748571
32	0.5826195032
33	0.5818765233
34	0.5816901215
35	0.5815529892
36	0.5812018025
37	0.5809952091
38	0.5808638216
39	0.5806341207
40	0.5803390593
41	0.580021768
42	0.5797527538
43	0.579326774
44	0.5788999454
45	0.5786077234
46	0.5780911979
47	0.5776859634
48	0.5773682826
49	0.5769003882
50	0.576410873
51	0.57621903
52	0.57564338
53	0.5752127781
54	0.5750135416
55	0.5744947649
56	0.5740747064
57	0.5736653658
58	0.5729558166
59	0.5723644398
60	0.5719924849
61	0.5713969158
62	0.5708227035
63	0.5703487617
64	0.5697727526
65	0.5691930108
66	0.5685597398
67	0.5679296724
68	0.5676238177
69	0.5670634161
70	0.5665747478
71	0.5663211736
72	0.5659873707
73	0.5656051832
74	0.5652005726
75	0.564903544
76	0.5642946281
77	0.5637232421
78	0.563431413
79	0.5629307428
80	0.5625793232
81	0.5622824559
82	0.5619567556
83	0.5616751269
84	0.5612767215
85	0.5608132619
86	0.560426844
87	0.5599956735
88	0.5595415822
89	0.5592459889
90	0.5587888865
91	0.5584341998
92	0.5578831365
93	0.5575268001
94	0.5571745217
95	0.5568287437
96	0.5564854043
97	0.5561237422
98	0.5557832157
99	0.555333889
