iter	Passed	Remaining
0	50	4977
1	52	2595
2	55	1799
3	58	1410
4	61	1173
5	64	1012
6	67	894
7	70	805
8	72	736
9	75	679
10	79	641
11	82	604
12	85	570
13	88	541
14	91	517
15	95	500
16	98	478
17	100	458
18	103	440
19	106	426
20	111	420
21	114	405
22	117	391
23	119	378
24	122	367
25	126	358
26	129	350
27	132	339
28	134	329
29	139	325
30	142	316
31	145	308
32	147	300
33	150	292
34	153	284
35	156	277
36	159	271
37	163	266
38	165	259
39	169	253
40	171	247
41	174	241
42	179	237
43	181	231
44	184	225
45	187	220
46	193	218
47	196	212
48	199	207
49	201	201
50	204	196
51	208	192
52	211	187
53	213	182
54	216	177
55	219	172
56	222	167
57	226	164
58	229	159
59	232	154
60	234	150
61	237	145
62	240	141
63	243	136
64	246	132
65	249	128
66	251	124
67	255	120
68	258	116
69	261	111
70	263	107
71	266	103
72	271	100
73	274	96
74	277	92
75	280	88
76	283	84
77	286	80
78	289	76
79	291	72
80	294	69
81	297	65
82	302	61
83	305	58
84	308	54
85	311	50
86	314	46
87	317	43
88	321	39
89	324	36
90	326	32
91	329	28
92	332	25
93	337	21
94	340	17
95	343	14
96	345	10
97	348	7
98	351	3
99	354	0
